,map_file,richness,speciation,time
445,map_500_0.2_1.tif,1504,False,2517.0
446,map_500_0.2_1.tif,1505,False,2518.0
447,map_500_0.2_1.tif,1501,False,2519.0
448,map_500_0.2_1.tif,1504,False,2520.0
449,map_500_0.2_1.tif,1502,False,2521.0
450,map_500_0.2_1.tif,1498,False,2522.0
451,map_500_0.2_1.tif,1493,False,2523.0
452,map_500_0.2_1.tif,1490,False,2524.0
453,map_500_0.2_1.tif,1481,False,2525.0
454,map_500_0.2_1.tif,1493,False,2526.0
455,map_500_0.2_1.tif,1476,False,2527.0
456,map_500_0.2_1.tif,1468,False,2528.0
457,map_500_0.2_1.tif,1469,False,2529.0
458,map_500_0.2_1.tif,1474,False,2530.0
459,map_500_0.2_1.tif,1481,False,2531.0
460,map_500_0.2_1.tif,1481,False,2532.0
461,map_500_0.2_1.tif,1495,False,2533.0
462,map_500_0.2_1.tif,1503,False,2534.0
463,map_500_0.2_1.tif,1501,False,2535.0
464,map_500_0.2_1.tif,1495,False,2536.0
465,map_500_0.2_1.tif,1484,False,2537.0
466,map_500_0.2_1.tif,1486,False,2538.0
467,map_500_0.2_1.tif,1504,False,2539.0
468,map_500_0.2_1.tif,1504,False,2540.0
469,map_500_0.2_1.tif,1498,False,2541.0
470,map_500_0.2_1.tif,1499,False,2542.0
471,map_500_0.2_1.tif,1495,False,2543.0
472,map_500_0.2_1.tif,1494,False,2544.0
473,map_500_0.2_1.tif,1485,False,2545.0
474,map_500_0.2_1.tif,1500,False,2546.0
475,map_500_0.2_1.tif,1492,False,2547.0
476,map_500_0.2_1.tif,1490,False,2548.0
477,map_500_0.2_1.tif,1508,False,2549.0
478,map_500_0.2_1.tif,1511,False,2550.0
479,map_500_0.2_1.tif,1510,False,2551.0
480,map_500_0.2_1.tif,1528,False,2552.0
481,map_500_0.2_1.tif,1520,False,2553.0
482,map_500_0.2_1.tif,1534,False,2554.0
483,map_500_0.2_1.tif,1547,False,2555.0
484,map_500_0.2_1.tif,1539,False,2556.0
485,map_500_0.2_1.tif,1524,False,2557.0
486,map_500_0.2_1.tif,1528,False,2558.0
487,map_500_0.2_1.tif,1514,False,2559.0
488,map_500_0.2_1.tif,1513,False,2560.0
489,map_500_0.2_1.tif,1512,False,2561.0
490,map_500_0.2_1.tif,1512,False,2562.0
491,map_500_0.2_1.tif,1514,False,2563.0
492,map_500_0.2_1.tif,1522,False,2564.0
493,map_500_0.2_1.tif,1535,False,2565.0
494,map_500_0.2_1.tif,1533,False,2566.0
495,map_500_0.2_1.tif,1524,False,2567.0
496,map_500_0.2_1.tif,1524,False,2568.0
497,map_500_0.2_1.tif,1514,False,2569.0
498,map_500_0.2_1.tif,1507,False,2570.0
499,map_500_0.2_1.tif,1508,False,2571.0
500,map_500_0.2_1.tif,1510,False,2572.0
501,map_500_0.2_1.tif,1508,False,2573.0
502,map_500_0.2_1.tif,1504,False,2574.0
503,map_500_0.2_1.tif,1509,False,2575.0
504,map_500_0.2_1.tif,1493,False,2576.0
505,map_500_0.2_1.tif,1497,False,2577.0
506,map_500_0.2_1.tif,1511,False,2578.0
507,map_500_0.2_1.tif,1503,False,2579.0
508,map_500_0.2_1.tif,1505,False,2580.0
509,map_500_0.2_1.tif,1513,False,2581.0
510,map_500_0.2_1.tif,1512,False,2582.0
511,map_500_0.2_1.tif,1502,False,2583.0
512,map_500_0.2_1.tif,1503,False,2584.0
513,map_500_0.2_1.tif,1505,False,2585.0
514,map_500_0.2_1.tif,1507,False,2586.0
515,map_500_0.2_1.tif,1508,False,2587.0
516,map_500_0.2_1.tif,1507,False,2588.0
517,map_500_0.2_1.tif,1509,False,2589.0
518,map_500_0.2_1.tif,1506,False,2590.0
519,map_500_0.2_1.tif,1509,False,2591.0
520,map_500_0.2_1.tif,1509,False,2592.0
521,map_500_0.2_1.tif,1500,False,2593.0
522,map_500_0.2_1.tif,1491,False,2594.0
523,map_500_0.2_1.tif,1505,False,2595.0
524,map_500_0.2_1.tif,1503,False,2596.0
525,map_500_0.2_1.tif,1512,False,2597.0
526,map_500_0.2_1.tif,1499,False,2598.0
527,map_500_0.2_1.tif,1499,False,2599.0
528,random_500_0.2_48.tif,388,True,0.0
529,random_500_0.2_48.tif,384,True,100.0
530,random_500_0.2_48.tif,387,True,200.0
531,random_500_0.2_48.tif,400,True,300.0
532,random_500_0.2_48.tif,400,True,400.0
533,random_500_0.2_48.tif,423,True,500.0
534,random_500_0.2_48.tif,414,True,600.0
535,random_500_0.2_48.tif,434,True,700.0
536,random_500_0.2_48.tif,434,True,800.0
537,random_500_0.2_48.tif,424,True,900.0
538,random_500_0.2_48.tif,439,True,1000.0
539,random_500_0.2_48.tif,436,True,1100.0
540,random_500_0.2_48.tif,433,True,1200.0
541,random_500_0.2_48.tif,446,True,1300.0
542,random_500_0.2_48.tif,445,True,1400.0
543,random_500_0.2_48.tif,466,True,1500.0
544,random_500_0.2_48.tif,465,True,1600.0
545,random_500_0.2_48.tif,494,True,1700.0
546,random_500_0.2_48.tif,518,True,1800.0
547,random_500_0.2_48.tif,519,True,1900.0
548,random_500_0.2_48.tif,553,True,2000.0
549,random_500_0.2_48.tif,578,True,2100.0
550,random_500_0.2_48.tif,634,True,2200.0
551,random_500_0.2_48.tif,708,True,2300.0
552,random_500_0.2_48.tif,852,True,2400.0
553,random_500_0.2_48.tif,1360,True,2500.0
554,random_500_0.2_48.tif,1510,True,2600.0
555,random_500_0.2_48.tif,1524,True,2700.0
556,random_500_0.2_48.tif,1223,True,2495.0
557,random_500_0.2_48.tif,1248,True,2496.0
558,random_500_0.2_48.tif,1266,True,2497.0
559,random_500_0.2_48.tif,1286,True,2498.0
560,random_500_0.2_48.tif,1323,True,2499.0
561,random_500_0.2_48.tif,1538,True,2501.0
562,random_500_0.2_48.tif,1530,True,2502.0
563,random_500_0.2_48.tif,1537,True,2503.0
564,random_500_0.2_48.tif,1520,True,2504.0
565,random_500_0.2_48.tif,1528,True,2505.0
566,random_500_0.2_48.tif,1532,True,2506.0
567,random_500_0.2_48.tif,1515,True,2507.0
568,random_500_0.2_48.tif,1507,True,2508.0
569,random_500_0.2_48.tif,1515,True,2509.0
570,random_500_0.2_48.tif,1526,True,2510.0
571,random_500_0.2_48.tif,1527,True,2511.0
572,random_500_0.2_48.tif,1541,True,2512.0
